rollno,student_name,emailid,address,contact,mid1_exam_30,mid2_exam_30,attendance_pct_100,backlogs,prev_year_sgpa_10,result
1001,Vikram Singh,vikram.singh4516@yahoo.com,"115 Market Road, Ghaziabad - 876647",6831113321,21.0,19.6,54,0,6.4,Pass
1002,Rishi Arora,rishi.arora4567@icloud.com,"446 Main Lane, Ludhiana - 543144",8193448329,7.4,21.4,46,0,8.79,Pass
1003,Shreya Roy,shreya.roy721@protonmail.com,"236 Park Square, Bangalore - 678857",8995970241,8.3,14.3,42,0,7.58,Pass
1004,Sahil Gupta,sahil.gupta6075@hotmail.com,"108 Nehru Road, Vadodara - 765823",7051454923,12.9,14.0,99,0,7.02,Fail
1005,Arjun Reddy,arjun.reddy535@icloud.com,"162 Shivaji Boulevard, Bangalore - 321232",8439149233,25.5,12.8,49,0,4.87,Pass
1006,Sakshi Mishra,sakshi.mishra5940@yahoo.com,"71 Patel Road, Mysore - 149406",6217611860,15.2,13.7,78,0,6.13,Fail
1007,Aarav Das,aarav.das1886@protonmail.com,"454 Nehru Path, Hyderabad - 407758",9974249674,29.2,19.2,86,1,8.12,Fail
1008,Nidhi Jain,nidhi.jain3268@yahoo.com,"192 Market Court, Mysore - 656117",6867414708,24.1,15.8,63,0,6.84,Pass
1009,Nikhil Patel,nikhil.patel7972@icloud.com,"36 Market Lane, Ghaziabad - 598370",7633778586,28.1,18.7,68,0,7.03,Pass
1010,Sakshi Reddy,sakshi.reddy127@gmail.com,"363 Main Avenue, Bangalore - 132939",8894264595,18.6,19.7,53,0,8.58,Pass
1011,Diya Reddy,diya.reddy7759@icloud.com,"209 Rajendra Road, Hyderabad - 790994",9816663775,6.1,25.9,43,0,6.98,Pass
1012,Bhavna Sinha,bhavna.sinha2306@outlook.com,"94 Nehru Circle, Ahmedabad - 179047",9420514789,14.8,14.3,40,1,5.58,Pass
1013,Pooja Khanna,pooja.khanna6580@gmail.com,"85 Shivaji Street, Surat - 378086",9520103410,14.3,9.1,90,0,7.11,Pass
1014,Bhavna Sharma,bhavna.sharma5148@gmail.com,"26 Patel Court, Agra - 994142",7181106786,22.6,20.5,44,0,6.44,Pass
1015,Sakshi Jain,sakshi.jain661@rediffmail.com,"42 Shivaji Drive, Nashik - 648178",8309500117,21.1,28.9,55,0,6.48,Fail
1016,Rohan Singh,rohan.singh7518@rediffmail.com,"289 Park Road, Noida - 323509",8344160868,23.8,17.5,74,0,8.06,Fail
1017,Aarav Das,aarav.das9096@hotmail.com,"478 Park Lane, Jaipur - 221036",6962610986,17.0,23.4,61,0,5.89,Fail
1018,Arjun Patel,arjun.patel6949@icloud.com,"142 Main Street, Indore - 908578",7125089309,17.8,18.5,67,0,N/A,Fail
1019,Amit Bansal,amit.bansal600@icloud.com,"190 Market Square, Chennai - 143861",8536778950,9.1,15.0,62,3,5.18,Fail
1020,Neha Khanna,neha.khanna2672@icloud.com,"416 Market Square, Mumbai - 288074",8360837474,23.9,27.5,64,1,7.77,Fail
1021,Divya Reddy,divya.reddy397@protonmail.com,"99 Shivaji Path, Jaipur - 172793",8482848011,14.8,13.6,61,0,4.71,Pass
1022,Shreya Sharma,shreya.sharma1786@rediffmail.com,"223 Gandhi Path, Visakhapatnam - 735657",6476426797,17.7,29.2,40,1,8.4,Pass
1023,Akshay Das,akshay.das2051@protonmail.com,"461 Nehru Court, Lucknow - 799288",9695912196,22.4,16.3,52,0,5.36,Fail
1024,Priya Jain,priya.jain9334@hotmail.com,"208 Main Boulevard, Lucknow - 320393",9679017210,8.2,22.5,72,1,6.43,Fail
1025,Nikhil Srivastava,nikhil.srivastava3858@protonmail.com,"159 Rajendra Avenue, Chennai - 125612",6607762160,28.1,11.1,52,0,7.67,Fail
1026,Aarav Saxena,aarav.saxena1756@icloud.com,"218 Rajendra Lane, Thiruvananthapuram - 829717",9805620900,18.1,30,69,2,8.08,Fail
1027,Nidhi Pandey,nidhi.pandey8986@outlook.com,"460 Market Circle, Bhopal - 371783",7322520473,11.9,9.4,55,0,7.5,Pass
1028,Amit Reddy,amit.reddy6285@protonmail.com,"79 Rajendra Road, Visakhapatnam - 527399",8625464411,13.9,21.2,66,0,6.91,Pass
1029,Harsh Iyer,harsh.iyer6399@icloud.com,"457 Shivaji Court, Coimbatore - 870320",7096929657,11.2,17.9,64,0,8.17,Fail
